"name","label","description","content","orgs","cats","country"
"ident.businesstoday","Business Today","Business Today","[]","org.businesstoday","","US"
"ident.Satya_Nadella","Satya Nadella","Satya Nadella","['Born 19 August 1967']","org.microsoft","other","US"
"ident.Demetris_Cheatham","Demetris Cheatham","Demetris Cheatham","[]","org.github","other","US"
"ident.onedev","OneDev","OneDev","[]","org.onedev","","US"
"ident.gitlab","Gitlab","Gitlab","[]","org.gitlab","","US"
"ident.github","Github","Github","[]","org.github","","US"
"ident.Thomas_Dohmke","Thomas Dohmke","Thomas Dohmke","[""He loves building products that make developers\\' lives easier""]","org.github","other","DE"
"ident.microsoft","Microsoft","Microsoft","[]","org.microsoft","","US"
"ident.bitbucket","Bitbucket","Bitbucket","[]","org.bitbucket","","US"
"ident.sun","Sun\nMicrosystems","Sun\nMicrosystems","[]","","","US"
