"name","label","description","content","from","to","cats"
"link.ident.github__Launch__event.github_pages","Launch","Launch","","ident.github","event.github_pages",""
"link.ident.github__Quickstart__event.github_pages_quickstart","Quickstart","Quickstart","","ident.github","event.github_pages_quickstart",""
"link.ident.github__Organize__event.github_universe_2025","Organize","GitHub Universe 2025 - October 28-29 - San Francisco, CA","","ident.github","event.github_universe_2025",""
"link.ident.microsoft__Organize__event.azure_events","Organize","Organize","","ident.microsoft","event.azure_events",""
"link.ident.microsoft__Concerned__event.microsoft_pay_so_much_github","Concerned","Why Microsoft Is Willing to Pay So Much for GitHub","","ident.microsoft","event.microsoft_pay_so_much_github","financial"
"link.ident.github__Concerned__event.microsoft_pay_so_much_github","Concerned","Concerned","","ident.github","event.microsoft_pay_so_much_github","financial"
"link.ident.microsoft__Buy__event.microsoft_linkedin","Buy","Microsoft to buy LinkedIn for $26.2 billion in its largest deal","","ident.microsoft","event.microsoft_linkedin","financial"
"link.ident.microsoft__Concerned__event.microsoft_shocked_internet_buying_github","Concerned","Pourquoi le rachat de GitHub par Microsoft pour 7,5 milliards de dollars choque Internet","","ident.microsoft","event.microsoft_shocked_internet_buying_github","financial"
"link.ident.Thomas_Dohmke__Concerned__event.dohmke_Biografie","Concerned","Thomas Dohmke – Biografie","","ident.Thomas_Dohmke","event.dohmke_Biografie","media"
"link.ident.github__Comparison__event.github_vs_bitbucket","Comparison","Comparison","","ident.github","event.github_vs_bitbucket","media"
"link.ident.bitbucket__Comparison__event.github_vs_bitbucket","Comparison","Comparison","","ident.bitbucket","event.github_vs_bitbucket","media"
"link.ident.github__Comparison__event.github_vs_gitlab","Comparison","Comparison","","ident.github","event.github_vs_gitlab","media"
"link.ident.gitlab__Comparison__event.github_vs_gitlab","Comparison","Comparison","","ident.gitlab","event.github_vs_gitlab","media"
"link.ident.gitlab__Also compared__event.github_vs_bitbucket","Also compared","Also compared","","ident.gitlab","event.github_vs_bitbucket","media"
"link.ident.businesstoday__Publish__event.businesstoday_GitHub_AI_Agent","Publish","Microsoft Launches GitHub AI Agent That Codes & Fixes Bugs, Satya Nadella Demos Live Bug Fixes","","ident.businesstoday","event.businesstoday_GitHub_AI_Agent","media"
"link.ident.github__New__event.businesstoday_GitHub_AI_Agent","New","New","","ident.github","event.businesstoday_GitHub_AI_Agent","media"
