"name","label","description","content","begin","end","cats","country"
"event.github_pages","GitHub Pages","GitHub Pages","[]","","","","US"
"event.github_pages_quickstart","GitHub Pages\nQuickstart","GitHub Pages\nQuickstart","[]","","","","US"
"event.github_universe_2025","GitHub\nUniverse 2025","GitHub Universe 2025 - October 28-29 - San Francisco, CA","[]","2025-10-28","","","US"
"event.azure_events","Azure\nevents","Azure\nevents","[]","","","","US"
"event.microsoft_pay_so_much_github","Microsoft Pay\nso Much for GitHub","Why Microsoft Is Willing to Pay So Much for GitHub","[]","2018-06-06","","financial","US"
"event.microsoft_linkedin","Microsoft\nbuy Linkedin","Microsoft to buy LinkedIn for $26.2 billion in its largest deal","[]","2016-06-14","","financial","US"
"event.microsoft_shocked_internet_buying_github","Microsoft's GitHub Acquisition\nShocks the Internet","Pourquoi le rachat de GitHub par Microsoft pour 7,5 milliards de dollars choque Internet","[]","2018-06-05","","financial","FR"
"event.dohmke_Biografie","Thomas Dohmke\nbio","Thomas Dohmke – Biografie","[]","2021-11-15","","media","US"
"event.github_vs_bitbucket","Github vs\nBitbucket","Github vs\nBitbucket","[]","2025-07-10","","media","US"
"event.github_vs_gitlab","Github vs\nGitlab","Github vs\nGitlab","[]","2025-07-10","","media","US"
"event.businesstoday_GitHub_AI_Agent","GitHub AI Agent","Microsoft Launches GitHub AI Agent That Codes & Fixes Bugs, Satya Nadella Demos Live Bug Fixes","[]","2025-05-20","","media","US"
